date,steps
2019-05-23,9474
2019-05-24,11111
2019-05-25,14937
2019-05-26,2370
2019-05-27,7688
2019-05-28,10741
2019-05-29,12050
2019-05-30,8774
2019-05-31,10867
2019-06-01,6455
2019-06-02,2126
2019-06-03,12692
2019-06-04,9000
2019-06-05,11864
2019-06-06,7692
2019-06-07,13626
2019-06-08,3031
2019-06-09,7119
2019-06-10,5963
2019-06-11,13188
2019-06-12,4021
2019-06-13,5892
2019-06-14,10023
2019-06-15,10732
2019-06-16,5840
2019-06-17,8925
2019-06-18,8881
2019-06-19,5204
2019-06-20,6198
2019-06-21,5773
2019-06-22,1561
2019-06-23,4475
2019-06-24,4217
2019-06-25,3296
2019-06-26,2432
2019-06-27,2781
2019-06-28,11067
2019-06-29,11518
2019-06-30,7137
2019-07-01,7762
2019-07-02,7746
2019-07-03,10252
2019-07-04,5999
2019-07-05,5309
2019-07-06,4480
2019-07-07,5734
2019-07-08,8228
2019-07-09,14713
2019-07-10,11941
2019-07-11,10001
2019-07-12,20661
2019-07-13,1458
2019-07-14,1709
2019-07-15,6159
2019-07-16,6169
2019-07-17,7463
2019-07-18,6974
2019-07-19,9445
2019-07-20,9688
2019-07-21,2643
2019-07-22,5467
2019-07-23,7729
2019-07-24,7197
2019-07-26,7720
2019-07-27,1517
2019-07-28,2216
2019-07-29,7437
2019-07-30,10673
2019-07-31,7727
2019-08-01,9514
2019-08-02,7745
2019-08-03,6518
2019-08-06,1817
2019-08-07,1682
2019-08-08,2956
2019-08-09,3820
2019-08-10,9363
2019-08-11,6988
2019-08-12,4012
2019-08-13,5816
2019-08-14,1361
2019-08-15,2071
2019-08-16,1360
2019-08-17,4880
2019-08-18,1872
2019-08-19,1401
2019-08-20,5323
2019-08-21,11349
2019-08-22,4335
2019-08-23,1226
2019-08-24,4541
2019-08-25,25200
2019-08-26,5412
2019-08-27,4054
2019-08-28,3469
2019-08-29,2693
2019-08-30,1158
2019-08-31,2020
2019-09-01,4573
2019-09-02,6309
2019-09-03,4051
2019-09-04,1924
2019-09-05,10465
2019-09-06,3602
2019-09-07,5578
2019-09-08,4492
2019-09-09,3358
2019-09-10,4167
2019-09-11,2350
2019-09-12,3805
2019-09-13,4158
2019-09-14,10110
2019-09-15,6076
2019-09-16,7196
2019-09-17,10015
2019-09-18,10936
2019-09-19,11016
2019-09-20,4063
2019-09-21,6959
2019-09-22,6304
2019-09-23,8069
2019-09-24,6643
2019-09-25,8184
2019-09-26,7091
2019-09-27,7087
2019-09-28,11026
2019-09-29,7318
2019-09-30,5403
2019-10-01,4757
2019-10-02,5105
2019-10-03,4709
2019-10-04,4805
2019-10-05,6630
2019-10-06,4706
2019-10-07,5666
2019-10-08,4738
2019-10-09,14335
2019-10-10,8979
2019-10-11,14012
2019-10-12,4704
2019-10-13,4249
2019-10-14,5700
2019-10-15,12073
2019-10-16,5743
2019-10-17,8497
2019-10-18,8731
2019-10-19,9984
2019-10-20,3207
2019-10-21,7583
2019-10-22,4357
2019-10-23,4146
2019-10-24,6211
2019-10-25,4289
2019-10-26,5362
2019-10-27,7498
2019-10-28,7716
2019-10-29,5500
2019-10-30,5689
2019-10-31,5906
2019-11-01,9103
2019-11-02,10275
2019-11-03,8927
2019-11-04,6767
2019-11-05,4295
2019-11-06,4547
2019-11-07,6434
2019-11-08,6328
2019-11-09,7119
2019-11-10,3827
2019-11-11,4749
2019-11-12,12979
2019-11-13,7129
2019-11-14,7575
2019-11-15,10377
2019-11-16,10545
2019-11-17,3924
2019-11-18,13859
2019-11-19,3895
2019-11-20,7551
2019-11-21,11558
2019-11-22,8301
2019-11-23,4428
2019-11-24,7906
2019-11-25,6970
2019-11-26,7185
2019-11-27,10344
2019-11-28,8386
2019-11-29,3952
2019-11-30,5451
2019-12-01,5106
2019-12-02,4526
2019-12-03,7781
2019-12-04,4662
2019-12-05,9119
2019-12-06,9094
2019-12-07,6453
2019-12-08,5260
2019-12-09,9172
2019-12-10,6543
2019-12-11,9004
2019-12-12,7009
2019-12-13,6718
2019-12-14,7000
2019-12-15,10436
2019-12-16,2896
2019-12-17,7340
2019-12-18,5970
2019-12-19,5424
2019-12-20,6906
2019-12-21,4931
2019-12-22,3178
2019-12-23,8266
2019-12-24,4285
2019-12-25,4588
2019-12-26,6682
2019-12-27,5110
2019-12-28,10810
2019-12-29,3038
2019-12-30,17229
2019-12-31,4272
2020-01-01,7766
2020-01-02,6012
2020-01-03,6377
2020-01-04,1588
2020-01-05,7481
2020-01-06,4520
2020-01-07,5318
2020-01-08,5386
2020-01-09,3447
2020-01-10,3847
2020-01-11,10234
2020-01-12,4681
2020-01-13,3633
2020-01-14,6723
2020-01-15,7280
2020-01-16,3835
2020-01-17,5081
2020-01-18,4549
2020-01-19,5191
2020-01-20,1654
2020-01-21,5085
2020-01-22,5819
2020-01-23,3815
2020-01-24,7169
2020-01-25,3201
2020-01-26,3384
2020-01-27,5252
2020-01-28,4046
2020-01-29,3950
2020-01-30,5434
2020-01-31,6459
2020-02-01,19641
2020-02-02,4083
2020-02-03,4716
2020-02-04,7549
2020-02-05,7660
2020-02-06,11125
2020-02-07,6570
2020-02-08,4607
2020-02-09,5016
2020-02-10,4027
2020-02-11,4020
2020-02-12,1004
2020-02-13,14630
2020-02-14,6317
2020-02-15,5337
2020-02-16,3681
2020-02-17,9263
2020-02-18,4176
2020-02-19,6558
2020-02-20,6346
2020-02-21,5005
2020-02-22,3383
2020-02-23,2982
2020-02-24,1566
2020-02-25,5208
2020-02-26,5972
2020-02-27,5105
2020-02-28,30906
