date,steps
2019-05-08,1493
2019-05-09,5289
2019-05-10,9988
2019-05-11,8385
2019-05-12,1011
2019-05-13,1208
2019-05-14,7709
2019-05-15,3193
2019-05-16,4810
2019-05-17,4631
2019-05-18,1048
2019-05-19,2798
2019-05-20,936
2019-05-21,806
2019-05-22,4049
2019-05-23,5415
2019-05-24,9306
2019-05-25,10616
2019-05-26,1387
2019-05-27,1549
2019-05-28,4781
2019-05-29,3156
2019-05-31,21298
2019-06-01,1497
2019-06-03,881
2019-06-04,1278
2019-06-05,782
2019-06-06,5291
2019-06-07,988
2019-06-08,8233
2019-06-09,1375
2019-06-10,1464
2019-06-11,5975
2019-06-12,17128
2019-06-13,1095
2019-06-14,12051
2019-06-15,8639
2019-06-16,1360
2019-06-18,975
2019-06-19,8779
2019-06-20,806
2019-06-21,738
2019-06-22,9221
2019-06-23,1874
2019-06-24,5903
2019-06-25,2193
2019-06-26,7637
2019-06-27,925
2019-06-28,1301
2019-06-29,6252
2019-06-30,2127
2019-07-01,649
2019-07-02,7679
2019-07-03,836
2019-07-04,8587
2019-07-05,6819
2019-07-06,12494
2019-07-07,1410
2019-07-08,9256
2019-07-09,1723
2019-07-10,963
2019-07-11,13353
2019-07-12,4289
2019-07-13,1541
2019-07-14,5519
2019-07-15,3758
2019-07-16,1134
2019-07-17,2633
2019-07-18,2650
2019-07-19,10308
2019-07-20,975
2019-07-21,9413
2019-07-22,1328
2019-07-23,7401
2019-07-24,841
2019-07-25,13010
2019-07-26,741
2019-07-27,11011
2019-07-28,820
2019-07-29,8601
2019-07-31,10804
2019-08-01,818
2019-08-02,9538
2019-08-03,907
2019-08-04,11159
2019-08-05,1039
2019-08-06,8983
2019-08-07,1962
2019-08-08,841
2019-08-09,9766
2019-08-10,734
2019-08-11,11032
2019-08-12,867
2019-08-13,7898
2019-08-14,750
2019-08-15,8208
2019-08-16,791
2019-08-17,10230
2019-08-18,867
2019-08-19,10661
2019-08-20,1036
2019-08-21,8458
2019-08-22,890
2019-08-23,8128
2019-08-24,1040
2019-08-25,7455
2019-08-26,1126
2019-08-27,8836
2019-08-28,1807
2019-08-29,9644
2019-08-30,6776
2019-08-31,3636
2019-09-01,10042
2019-09-02,3222
2019-09-03,4854
2019-09-04,1698
2019-09-05,9421
2019-09-06,3164
2019-09-07,9544
2019-09-08,1334
2019-09-09,9622
2019-09-10,928
2019-09-11,8324
2019-09-12,839
2019-09-13,6200
2019-09-14,1141
2019-09-15,7488
2019-09-16,1905
2019-09-17,10190
2019-09-18,1188
2019-09-19,3046
2019-09-20,6249
2019-09-21,1945
2019-09-22,11532
2019-09-23,12963
2019-09-24,1094
2019-09-25,14012
2019-09-26,19780
2019-09-27,15684
2019-09-28,17939
2019-09-29,14651
2019-09-30,4552
2019-10-01,11356
2019-10-02,13458
2019-10-03,5017
2019-10-04,1286
2019-10-05,3778
2019-10-06,6210
2019-10-07,15652
2019-10-08,15751
2019-10-09,12667
2019-10-10,6583
2019-10-11,8358
2019-10-12,1573
2019-10-13,9000
2019-10-14,7812
2019-10-15,13950
2019-10-16,866
2019-10-17,9297
2019-10-18,11921
2019-10-19,1220
2019-10-20,12993
2019-10-21,11085
2019-10-22,8384
2019-10-23,1141
2019-10-24,15653
2019-10-25,10463
2019-10-26,3173
2019-10-27,7403
2019-10-28,7550
2019-10-29,9699
2019-10-30,9227
2019-10-31,1754
2019-11-01,5113
2019-11-02,13183
2019-11-03,4971
2019-11-04,8470
2019-11-05,13149
2019-11-06,10458
2019-11-07,12135
2019-11-08,12937
2019-11-09,3416
2019-11-10,9802
2019-11-11,10102
2019-11-12,12329
2019-11-13,761
2019-11-14,7868
2019-11-15,12285
2019-11-16,12644
2019-11-17,8219
2019-11-18,10154
2019-11-19,11348
2019-11-20,11186
2019-11-21,1447
2019-11-22,6184
2019-11-23,3370
2019-11-24,1296
2019-11-25,9614
2019-11-26,8781
2019-11-27,5579
2019-11-28,2055
2019-11-29,4553
2019-11-30,1213
2019-12-01,827
2019-12-02,10997
2019-12-03,16250
2019-12-04,6265
2019-12-05,20101
2019-12-07,1048
2019-12-08,4245
2019-12-09,14232
2019-12-10,17304
2019-12-11,5480
2019-12-12,19270
2019-12-13,8828
2019-12-14,18671
2019-12-15,26643
2019-12-16,6714
2019-12-17,20326
2019-12-18,9591
2019-12-19,21592
2019-12-20,18533
2019-12-21,20030
2019-12-22,10892
2019-12-23,17377
2019-12-24,19168
2019-12-25,1776
2019-12-26,13496
2019-12-27,8002
2019-12-28,12039
2019-12-29,2979
2019-12-30,2169
2019-12-31,12926
2020-01-01,1524
2020-01-02,23590
2020-01-03,9927
2020-01-04,3428
2020-01-05,1720
2020-01-06,7673
2020-01-07,27101
2020-01-08,11548
2020-01-09,22963
2020-01-10,12757
2020-01-11,7340
2020-01-12,1165
2020-01-13,4730
2020-01-14,20866
2020-01-15,3207
2020-01-16,22104
2020-01-17,12747
2020-01-18,13935
2020-01-19,34167
2020-01-20,7746
2020-01-21,15314
2020-01-22,8473
2020-01-23,21073
2020-01-24,12122
2020-01-25,5692
2020-01-26,13732
2020-01-27,6756
2020-01-28,20629
2020-01-29,1873
2020-01-30,1593
2020-01-31,13903
2020-02-01,681
2020-02-02,11158
2020-02-03,7523
2020-02-04,20723
2020-02-05,3967
2020-02-06,22910
2020-02-07,7874
2020-02-08,6817
2020-02-09,1442
2020-02-10,4734
2020-02-11,26642
2020-02-12,697
2020-02-13,12625
2020-02-14,7925
2020-02-15,9635
2020-02-16,4378
2020-02-17,9568
2020-02-18,14069
2020-02-19,7150
2020-02-20,14151
2020-02-21,8916
2020-02-22,1021
2020-02-23,5606
2020-02-24,1158
2020-02-25,13972
2020-02-26,1026
2020-02-27,1329
2020-02-28,6618
2020-02-29,11330
2020-03-01,5623
