date,steps
2019-05-24,5753
2019-05-25,11736
2019-05-26,12698
2019-05-27,11076
2019-05-28,12096
2019-05-29,11599
2019-05-30,11081
2019-05-31,6170
2019-06-01,16005
2019-06-02,10229
2019-06-03,14039
2019-06-04,15303
2019-06-05,11215
2019-06-06,13140
2019-06-07,11702
2019-06-08,11375
2019-06-09,10752
2019-06-10,12342
2019-06-11,6554
2019-06-12,11414
2019-06-13,7440
2019-06-14,10052
2019-06-15,10992
2019-06-16,10460
2019-06-17,11716
2019-06-18,10740
2019-06-19,11256
2019-06-20,8524
2019-06-21,6578
2019-06-22,3156
2019-06-23,4480
2019-06-24,9060
2019-06-25,7948
2019-06-26,8008
2019-06-27,6633
2019-06-28,4239
2019-06-29,3895
2019-06-30,6730
2019-07-01,5199
2019-07-02,10274
2019-07-03,10123
2019-07-04,10559
2019-07-05,10323
2019-07-06,10764
2019-07-07,10370
2019-07-08,9787
2019-07-09,10596
2019-07-10,10330
2019-07-11,11292
2019-07-12,10568
2019-07-13,10115
2019-07-14,10245
2019-07-15,4091
2019-07-16,10584
2019-07-17,6308
2019-07-18,9454
2019-07-19,5829
2019-07-20,7560
2019-07-21,7870
2019-07-22,9850
2019-07-23,5586
2019-07-24,10027
2019-07-25,7896
2019-07-26,6026
2019-07-27,16237
2019-07-28,10088
2019-07-29,10620
2019-07-30,10436
2019-07-31,10368
2019-08-01,6972
2019-08-02,4486
2019-08-03,13389
2019-08-04,9039
2019-08-05,10020
2019-08-06,10040
2019-08-07,11307
2019-08-08,13989
2019-08-09,12009
2019-08-10,6225
2019-08-11,3331
2019-08-12,10590
2019-08-13,1914
2019-08-14,3590
2019-08-15,3847
2019-08-16,9108
2019-08-17,19724
2019-08-18,5742
2019-08-19,4019
2019-08-20,5193
2019-08-21,12607
2019-08-22,5920
2019-08-23,6648
2019-08-24,6752
2019-08-25,9546
2019-08-26,3254
2019-08-27,5709
2019-08-28,2843
2019-08-29,4556
2019-08-30,4780
2019-08-31,3878
2019-09-01,15680
2019-09-02,7584
2019-09-03,15243
2019-09-04,8075
2019-09-05,2054
2019-09-06,5709
2019-09-07,11854
2019-09-08,6201
2019-09-09,4155
2019-09-10,2942
2019-09-11,3566
2019-09-12,7087
2019-09-13,3607
2019-09-14,12130
2019-09-15,10779
2019-09-16,7725
2019-09-17,7500
2019-09-18,13964
2019-09-19,6507
2019-09-20,14327
2019-09-21,20666
2019-09-22,8291
2019-09-23,6100
2019-09-24,6830
2019-09-25,6929
2019-09-26,13313
2019-09-27,7722
2019-09-28,6390
2019-09-29,16181
2019-09-30,5658
2019-10-01,6151
2019-10-02,9275
2019-10-03,14312
2019-10-04,7140
2019-10-05,3290
2019-10-06,12511
2019-10-07,8738
2019-10-08,7852
2019-10-09,7400
2019-10-10,6563
2019-10-11,12705
2019-10-12,9981
2019-10-13,6979
2019-10-14,9564
2019-10-15,10237
2019-10-16,6224
2019-10-17,12533
2019-10-18,7269
2019-10-19,10445
2019-10-20,8197
2019-10-21,10547
2019-10-22,11360
2019-10-23,8254
2019-10-24,11407
2019-10-25,8638
2019-10-26,11208
2019-10-27,7285
2019-10-28,12362
2019-10-29,2656
2019-10-30,8772
2019-10-31,7387
2019-11-01,7431
2019-11-02,5972
2019-11-03,3310
2019-11-04,7329
2019-11-05,6884
2019-11-06,8732
2019-11-07,7155
2019-11-08,9373
2019-11-09,9000
2019-11-10,11701
2019-11-11,5460
2019-11-12,7764
2019-11-13,6223
2019-11-14,9693
2019-11-15,8297
2019-11-16,8235
2019-11-17,7971
2019-11-18,5748
2019-11-19,8967
2019-11-20,9213
2019-11-21,8469
2019-11-22,10213
2019-11-23,9393
2019-11-24,11679
2019-11-25,12757
2019-11-26,11098
2019-11-27,8511
2019-11-28,3460
2019-11-29,9248
2019-11-30,4847
2019-12-01,11135
2019-12-02,7110
2019-12-03,7271
2019-12-04,5772
2019-12-05,11623
2019-12-06,13743
2019-12-07,3887
2019-12-08,10797
2019-12-09,6394
2019-12-10,6758
2019-12-11,3888
2019-12-12,5077
2019-12-13,7748
2019-12-14,10302
2019-12-15,10110
2019-12-16,8240
2019-12-17,6749
2019-12-18,4312
2019-12-19,7903
2019-12-20,5963
2019-12-21,5894
2019-12-22,3412
2019-12-23,3886
2019-12-24,3749
2019-12-25,8155
2019-12-26,3879
2019-12-27,2240
2019-12-28,6952
2019-12-29,6941
2019-12-30,2443
2019-12-31,6639
2020-01-01,7505
2020-01-02,3196
2020-01-03,5699
2020-01-04,11820
2020-01-05,5624
2020-01-06,13578
2020-01-07,10495
2020-01-08,10370
2020-01-09,8939
2020-01-10,6328
2020-01-11,8351
2020-01-12,8790
2020-01-13,5988
2020-01-14,4261
2020-01-15,6707
2020-01-16,8070
2020-01-17,10217
2020-01-18,7694
2020-01-19,9512
2020-01-20,6307
2020-01-21,8051
2020-01-22,11498
2020-01-23,8884
2020-01-24,11374
2020-01-25,6891
2020-01-26,10313
2020-01-27,9579
2020-01-28,12244
2020-01-29,15378
2020-01-30,12816
2020-01-31,8403
2020-02-01,8180
2020-02-02,15881
2020-02-03,10607
2020-02-04,10114
2020-02-05,14240
2020-02-06,8066
2020-02-07,10245
2020-02-08,5096
2020-02-09,12214
2020-02-10,7032
2020-02-11,8893
2020-02-12,13120
2020-02-13,11199
2020-02-14,10632
2020-02-15,7867
2020-02-16,7081
2020-02-17,7299
2020-02-18,9185
2020-02-19,11115
2020-02-20,10579
2020-02-21,10690
2020-02-22,18374
2020-02-23,6992
2020-02-24,11986
2020-02-25,9382
2020-02-26,8326
2020-02-27,7772
2020-02-28,14929
2020-02-29,8497
2020-03-01,7176
