date,steps
2019-08-16,833
2019-08-17,8082
2019-08-18,4055
2019-08-19,6603
2019-08-20,5377
2019-08-21,3804
2019-08-22,5214
2019-08-23,12845
2019-08-24,4815
2019-08-25,1906
2019-08-26,8089
2019-08-27,2886
2019-08-28,5683
2019-08-29,5775
2019-08-30,3969
2019-08-31,9673
2019-09-01,8484
2019-09-02,3440
2019-09-03,6012
2019-09-04,3843
2019-09-05,4833
2019-09-06,3185
2019-09-07,5943
2019-09-08,3388
2019-09-09,4212
2019-09-10,6612
2019-09-11,6490
2019-09-12,2609
2019-09-13,6655
2019-09-14,8458
2019-09-15,5664
2019-09-16,6896
2019-09-17,3748
2019-09-18,3543
2019-09-19,6134
2019-09-20,8417
2019-09-21,3577
2019-09-22,6362
2019-09-23,3934
2019-09-24,5725
2019-09-25,4062
2019-09-26,5768
2019-09-27,4165
2019-09-28,7751
2019-09-29,7286
2019-09-30,2417
2019-10-01,6653
2019-10-02,7838
2019-10-03,11327
2019-10-04,10095
2019-10-05,8481
2019-10-06,8704
2019-10-07,6378
2019-10-08,4084
2019-10-09,4985
2019-10-10,3116
2019-10-11,1946
2019-10-12,3784
2019-10-13,4566
2019-10-14,8833
2019-10-15,5560
2019-10-16,7208
2019-10-17,6581
2019-10-18,6940
2019-10-19,4338
2019-10-20,5077
2019-10-21,5812
2019-10-22,5297
2019-10-23,11051
2019-10-24,11481
2019-10-25,11027
2019-10-26,5292
2019-10-27,3345
2019-10-28,3576
2019-10-29,8888
2019-10-30,8604
2019-10-31,4375
2019-11-01,4603
2019-11-02,10415
2019-11-03,2079
2019-11-04,6131
2019-11-05,4921
2019-11-06,7357
2019-11-07,10041
2019-11-08,7860
2019-11-09,4285
2019-11-10,5945
2019-11-11,7418
2019-11-12,5346
2019-11-13,10035
2019-11-14,4189
2019-11-15,5644
2019-11-16,5569
2019-11-17,1464
2019-11-18,5572
2019-11-19,10566
2019-11-20,7662
2019-11-21,7692
2019-11-22,2107
2019-11-23,5095
2019-11-24,5136
2019-11-25,10436
2019-11-26,6654
2019-11-27,4063
2019-11-28,2041
2019-11-29,3430
2019-11-30,14109
2019-12-01,3545
2019-12-02,2265
2019-12-03,1628
2019-12-04,7294
2019-12-05,6169
2019-12-07,7037
2019-12-08,3429
2019-12-09,7472
2019-12-10,6659
2019-12-11,7935
2019-12-12,8036
2019-12-13,6097
2019-12-14,3627
2019-12-15,3040
2019-12-16,5626
2019-12-17,1937
2019-12-18,7386
2019-12-19,3300
2019-12-20,12895
2019-12-21,7351
2019-12-22,4199
2019-12-23,8772
2019-12-24,4531
2019-12-25,10017
2019-12-26,5087
2019-12-27,6691
2019-12-28,6909
2019-12-29,8831
2019-12-30,11129
2019-12-31,4514
2020-01-01,3255
2020-01-02,3233
2020-01-03,10807
2020-01-04,10213
2020-01-05,6976
2020-01-06,3753
2020-01-07,5552
2020-01-08,5467
2020-01-09,6592
2020-01-10,7332
2020-01-11,10148
2020-01-12,7202
2020-01-13,5296
2020-01-14,5282
2020-01-15,10014
2020-01-16,8766
2020-01-17,7929
2020-01-18,8699
2020-01-19,15334
2020-01-20,10508
2020-01-21,1821
2020-01-22,5991
2020-01-23,10604
2020-01-24,6856
2020-01-25,3248
2020-01-26,4987
2020-01-27,7187
2020-01-28,7245
2020-01-29,625
2020-01-30,3618
2020-01-31,7086
2020-02-01,11275
2020-02-02,10531
2020-02-03,8885
2020-02-04,8134
2020-02-05,3847
2020-02-06,5551
2020-02-07,3424
2020-02-08,4542
2020-02-09,6075
2020-02-10,4874
2020-02-11,3989
2020-02-12,6434
2020-02-13,6193
2020-02-14,5190
2020-02-15,7868
2020-02-16,10724
2020-02-17,10619
2020-02-18,6048
2020-02-19,4787
2020-02-20,5172
2020-02-21,6844
2020-02-22,2231
2020-02-23,11172
2020-02-24,3618
2020-02-25,7093
2020-02-26,7680
2020-02-27,7917
2020-02-28,5219
2020-02-29,11306
2020-03-01,4825
