date,steps
2019-10-10,12654
2019-10-11,14417
2019-10-12,15477
2019-10-13,6491
2019-10-14,11038
2019-10-15,14774
2019-10-16,16375
2019-10-17,10235
2019-10-18,6404
2019-10-19,7256
2019-10-20,5701
2019-10-21,8001
2019-10-22,16445
2019-10-23,16009
2019-10-24,10662
2019-10-25,9365
2019-10-26,22489
2019-10-27,8580
2019-10-28,15821
2019-10-29,15582
2019-10-30,13663
2019-10-31,20667
2019-11-01,14638
2019-11-02,20898
2019-11-03,14405
2019-11-04,13533
2019-11-05,9800
2019-11-06,20469
2019-11-07,11079
2019-11-08,17383
2019-11-09,17926
2019-11-10,13969
2019-11-11,16792
2019-11-12,14609
2019-11-13,17834
2019-11-14,13818
2019-11-15,11921
2019-11-16,17546
2019-11-17,6129
2019-11-18,13230
2019-11-19,13235
2019-11-20,9009
2019-11-21,11089
2019-11-22,20691
2019-11-23,15338
2019-11-24,2381
2019-11-25,10410
2019-11-26,14522
2019-11-27,12221
2019-11-28,9129
2019-11-29,7055
2019-11-30,3169
2019-12-01,8338
2019-12-02,9487
2019-12-03,17645
2019-12-04,11357
2019-12-05,16719
2019-12-06,14836
2019-12-08,6832
2019-12-09,9599
2019-12-10,10804
2019-12-11,11556
2019-12-12,9972
2019-12-13,12250
2019-12-14,10132
2019-12-15,4996
2019-12-16,13302
2019-12-17,14838
2019-12-18,10784
2019-12-19,13271
2019-12-20,9874
2019-12-21,13234
2019-12-22,4972
2019-12-23,7396
2019-12-24,12392
2019-12-25,7741
2019-12-26,13049
2019-12-27,832
2019-12-28,5123
2019-12-29,5309
2019-12-30,10934
2019-12-31,13398
2020-01-01,6061
2020-01-02,4267
2020-01-03,6465
2020-01-04,14384
2020-01-05,13998
2020-01-06,15264
2020-01-07,12593
2020-01-08,16311
2020-01-09,14160
2020-01-10,17664
2020-01-11,14035
2020-01-12,14039
2020-01-13,8920
2020-01-14,17631
2020-01-15,15844
2020-01-16,12267
2020-01-17,15317
2020-01-18,6096
2020-01-19,20039
2020-01-20,21949
2020-01-21,15973
2020-01-22,17174
2020-01-23,16201
2020-01-24,22302
2020-01-25,17092
2020-01-26,16975
2020-01-27,18867
2020-01-28,17887
2020-01-29,14812
2020-01-30,18391
2020-01-31,30397
2020-02-01,21186
2020-02-02,8189
2020-02-03,14504
2020-02-04,24009
2020-02-05,19115
2020-02-06,15520
2020-02-07,17346
2020-02-08,25603
2020-02-09,10363
2020-02-10,14007
2020-02-11,18649
2020-02-12,17866
2020-02-13,32213
2020-02-14,27808
2020-02-15,6287
2020-02-16,7364
2020-02-17,12317
2020-02-18,15807
2020-02-19,20408
2020-02-20,26578
2020-02-21,12430
2020-02-22,14299
2020-02-23,21465
2020-02-24,14149
2020-02-25,13926
2020-02-26,19771
2020-02-27,19207
2020-02-28,23709
2020-02-29,11002
2020-03-01,12810
